2024/2025 Semester 1 Final Teaching Timetable,,,,,
,,,,,
BIUST - AUDITORIUM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
0900-0950,MATH 101 Lecture ENGINEERING,MATH 101 LECTURE SCIENCE,CHEM 101 LECTURE ENGINEERING,CETG 111 LECTURE,CHEM 101 Lecture ENGINEERING
1000-1050,MECE 312 Tutorial CHEMICAL,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,MATH 101 TUT COMPUTER SC
1100-1150,BIOL 101 LECTURE,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,ENVS 6103 TUT
1200-1250,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1300-1350,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1400-1450,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,MATH 101 TUT GEOL,EMTH 301 LECTURE
1500-1550,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,BIOL 101 LECTURE,
1600-1650,COMP 211 LECTURE,BIOL 405 Tutorial,MECE 211 LECTURE,CHEM 101 Lecture SCIENCE,EMTH 201 Lecture
1700-1750,COMP 211 LECTURE,EMTH 301 LECTURE,MECE 211 LECTURE,EMTH 301 LECTURE,PHYS 101 Lecture SCIENCE
1800-1850,,,,,
1900-1950,,,,,
BIUST - 114/001-002,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,CHEE 311 Tutorial,ALSS 201 Lecture Group D,STAT 309 LECTURE,CHEM 101 TUTORIAL GROUP C,ALSS 101 Tutorial Group C
0900-0950,ALSS 101 Lecture Group D,GEOL 301 LECTURE,ALSS 301 LECTURE GROUP 3,BIOL 101 TUTORIAL STATISTICS,GEOL 615 TUT
1000-1050,GEOL 623 LECTURE,GEOL 301 LECTURE,GEOL 601 TUT,CIVE 514 TUTORIAL,CHEM 307 LECTURE
1100-1150,GEOL 623 LECTURE,CHEM 205 LECTURE,CHEE 412 Tutorial,MATH 412 LECTURE,GEOL 201 TUTORIAL SCIENCE GROUPS
1200-1250,CMME 510 LECTURE,CHEM 205 LECTURE,MATH 302 LECTURE,MATH 412 LECTURE,FRSC 301 LECTURE
1300-1350,CMME 510 LECTURE,MINE 511 TUTORIAL,MATH 302 LECTURE,GEOL 621 LECTURE,ALSS 101 Lecture Group G
1400-1450,GLEN 222 TUTORIAL,MINE 414 LECTURE,ALSS 201 Lecture Group C,GEOL 621 LECTURE,ENVS 6102 TUT
1500-1550,CIVE 315 LECTURE,ALSS 301 LECTURE GROUP 1,FRSC 403 LECTURE,MECE 511 LECTURE,"GEME 411 TUTORIAL IND, MATERIALS, MINING"
1600-1650,CIVE 315 LECTURE,MATH 307 LECTURE,ENVS 201 TUTORIAL,MECE 511 LECTURE,ALSS 101 Tutorial Group E
1700-1750,ALSS 101 Lecture Group F,MATH 307 LECTURE,MATH 101 TUT PA MATHS,GEOL 601 LECTURE,ALSS 201 Lecture Group E
1800-1850,,,,,
1900-1950,,,,,
BIUST - 114/003-004,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,ALSS 101 Tutorial Group A,CTEN 511/MINS 511 TUTORIAL,CHEE 312 LECTURE,PHYS 305 Lecture,ALSS 201 Tutorial Group H
0900-0950,EMTH 201 TUTORIAL GROUP K,MMEE 411 LECTURE,CHEE 312 LECTURE,CIVE 415 TUTORIAL,CIVE 314 LECTURE
1000-1050,MECE 311 TUTORIAL MINING & GEOLOGICAL,MMEE 411 LECTURE,ALSS 301 LECTURE GROUP 4,MATH 101 TUT MECHANICAL,CIVE 314 LECTURE
1100-1150,STAT 202 TUT PHYS,"GEME 313 LECTURE GEOL,INFO,PHYS,PA CHEM,MATHS,STAT",MATH 601 LECTURE,ALSS 101 Tutorial Group J,GEOL 613 TUT
1200-1250,GEME 416 LECTURE,"GEME 313 LECTURE GEOL,INFO,PHYS,PA CHEM,MATHS,STAT",MATH 601 LECTURE,MMEE 410 LECTURE,GEOL 611 LECTURE
1300-1350,GEME 416 LECTURE,CHEE 310 Tutorial,MATH 201 LECTURE,CHEE 311 LECTURE,CTEN 415 TUTORIAL
1400-1450,BIOL 406 Tutorial,ALSS 101 Lecture Group H,CHEM 101 TUTORIAL GROUP J,CHEE 311 LECTURE,MATH 411 LECTURE
1500-1550,MATH 201 LECTURE,CIVE 312 LECTURE,ALSS 201 Lecture Group G,,MATH 411 LECTURE
1600-1650,ALSS 301 LECTURE GROUP 2,CIVE 312 LECTURE,STAT 304 LECTURE,ALSS 301 LECTURE GROUP 4,MINE 415 Lecture
1700-1750,MMEE 310 TUT,EMTH 201 TUTORIAL GROUP G,STAT 304 LECTURE,ALSS 101 Tutorial Group G,BIOL 403 Tutorial
1800-1850,,,,,
1900-1950,,,,,
BIUST - 114/005-006,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,GEOL 307 TUT YEAR 4 GEOLOGICAL,ENVS 6104 Lecture,INFS 411 TUTORIAL,MMEE 210 TUT COMP & TELE,MATH 201 TUTORIAL
0900-0950,MMEE 310 LECTURE,PHYS 201 Lecture,INFS 411 TUTORIAL,STAT 421 & STAT 603 TUT,ENVS 6104 LECTURE
1000-1050,MMEE 310 LECTURE,ALSS 101 Lecture Group B,GEOL 401 LECTURE,,ENVS 6104 LECTURE
1100-1150,MMEE 413 TUT,CIVE 412 LECTURE,BIOL 204 Tutorial,COMP 431 LECTURE,CHEM 402 LECTURE
1200-1250,MATH 401 TUTORIAL,CIVE 412 LECTURE,ENVS 407 LECTURE,MATH 101 TUT CHEMICAL,BIOL 101 TUTORIAL INFORMATION SYS
1300-1350,STAT 301 TUT,GLEN 418 LECTURE,ENVS 407 LECTURE,COMP 401/INFS 401 LECTURE,
1400-1450,MINE 414 LECTURE,GLEN 418 LECTURE,INME 511 LECTURE,COMP 401/INFS 401 LECTURE,EEEN 514 LECTURE
1500-1550,ALSS 301 TUTORIAL GROUP 2,ALSS 101 Tutorial Group F,INME 511 LECTURE,MATH 101 TUT MECHATRONICS,EEEN 514 LECTURE
1600-1650,EEEN 414 LECTURE,CTEN 512 LECTURE,CTEN 511/MINS 511 LECTURE,"GEME 414 LECTURE PHYS,PA CHEM,PA MATHS,STAT.EARTH,BIOL",MMEE 513 TUT
